ID	Category	Sub Category	English	Telugu	Hindi
htp-1	Historical temples	Badrinarayana	Badrinarayana Temple is a Hindu temple dedicated to Vishnu ,which is situated in the town of Badrinath in Uttarakhand, India. 	బద్రీనారాయణ ఆలయం విష్ణువుకు అంకితం చేయబడిన హిందూ దేవాలయం, ఇది భారతదేశంలోని ఉత్తరాఖండ్ రాష్ట్రం లోని బద్రీనాథ్ పట్టణంలో ఉంది. 	बद्रीनारायण मंदिर एक हिंदू मंदिर है जो विष्णु को समर्पित है, जो भारत के उत्तराखंड में बद्रीनाथ शहर में स्थित है।
htp-2	Historical temples	Badrinarayana	The temple is also one of the 108 Divya Desams dedicated to Vishnu, who is worshipped as Badrinath—holy shrines for Vaishnavites.	విష్ణువుకు అంకితం చేసిన 108 దివ్య దేశాలలో ఈ ఆలయం కూడా ఒకటి, విష్ణు మూర్తి అక్కడ బద్రినాథుడిగా ఉన్నారు — ఇవి వైష్ణవుల పవిత్ర మందిరాలు	मंदिर विष्णु को समर्पित 108 दिव्य देशमों में से एक है, जिन्हें बद्रीनाथ के रूप में पूजा जाता है - वैष्णवों के लिए पवित्र मंदिर।
htp-3	Historical temples	Badrinarayana	It is open for six months every year, because of extreme weather conditions in the Himalayan region.	హిమాలయ ప్రాంతంలో తీవ్రమైన వాతావరణ పరిస్థితుల కారణంగా ఇది ప్రతి సంవత్సరం ఆరు నెలలు తెరిచి ఉంటుంది. 	यह हिमालयी क्षेत्र में चरम मौसम की स्थिति के कारण हर साल छह महीने के लिए खुला रहता है।
htp-4	Historical temples	Badrinarayana	The temple is located in Garhwal hill tracks in Chamoli district along the banks of Alaknanda River.	ఈ ఆలయం అలకొనంద నది ఒడ్డున చమోలి జిల్లాలోని గర్హ్వాల్ హిల్ ట్రాక్స్ లో ఉంది.	मंदिर अलकनंदा नदी के किनारे चमोली जिले में गढ़वाल पहाड़ी धावन पथ में स्थित है।
htp-5	Historical temples	Badrinarayana	Devotees of all faiths and all schools of thought of Hinduism visit the Badrinath Temple.	అన్ని విశ్వాసాల భక్తులు మరియు హిందూ మతం యొక్క అన్ని ఆలోచనా పాఠశాలలు బద్రీనాథ్ ఆలయాన్ని సందర్శిస్తారు.	सभी धर्मों और हिंदू धर्म के सभी विचारधाराओं के भक्त बद्रीनाथ मंदिर जाते हैं।
htp-6	Historical temples	Badrinarayana	Mata Murti Ka Mela, which commemorates the descent of river Ganges on mother earth, is the most prominent festival celebrated in the Badrinath Temple.	మాతృ భూమిపై గంగా నది సంతతికి గుర్తుగా ఉన్న మాతా మూర్తి కా మేళ బద్రీనాథ్ ఆలయంలో జరుపుకునే ప్రముఖ పండుగ. 	माता मूर्ति का मेला, जो धरती पर गंगा नदी के अवतरण की याद दिलाता है, बद्रीनाथ मंदिर में मनाया जाने वाला सबसे प्रमुख त्योहार है।
htp-7	Historical temples	Badrinarayana	Although Badrinath is located in North India, the head priest, or Rawal, is traditionally a Nambudiri Brahmin chosen from the South Indian state of Kerala.	బద్రీనాథ్ ఉత్తర భారతదేశంలో ఉన్నప్పటికీ, ప్రధాన పూజారి లేదా రావల్ సాంప్రదాయకంగా దక్షిణ భారత రాష్ట్రమైన కేరళ నుండి ఎన్నుకోబడిన నంబుదిరి బ్రాహ్మణుడు.	हालांकि बद्रीनाथ उत्तर भारत में स्थित है, मुख्य पुजारी, या रावल, पारंपरिक रूप से दक्षिण भारतीय राज्य केरल से चुने गए नंबूदिरी ब्राह्मण हैं।
htp-8	Historical temples	Badrinarayana	The temple was included in the Uttar Pradesh state government Act No. 30/1948 as Act no. 16,1939, which later came to be known as Shri Badarinath and Shri Kedarnath Mandir Act.	ఈ ఆలయాన్ని ఉత్తర ప్రదేశ్ రాష్ట్ర ప్రభుత్వ చట్టం నెంబర్ 30/1948 లో యాక్ట్ నెం. 16,1939, తరువాత నుంచి దీనిని శ్రీ బదరీనాథ్, శ్రీ కేదార్‌నాథ్ మందిర్ చట్టం అని తెలిసింది	मंदिर को उत्तर प्रदेश राज्य सरकार अधिनियम संख्या 30/1948 में अधिनियम संख्या के रूप में शामिल किया गया था। 16,1939, जिसे बाद में श्री बदरीनाथ और श्री केदारनाथ मंदिर अधिनियम के रूप में जाना जाने लगा।
htp-9	Historical temples	Badrinarayana	The temple is mentioned in ancient religious texts like Vishnu Purana and Skanda Purana.	విష్ణు పురాణం, స్కంద పురాణం వంటి ప్రాచీన మత గ్రంథాలలో ఈ ఆలయం ప్రస్తావించబడింది. 	मंदिर का उल्लेख विष्णु पुराण और स्कंद पुराण जैसे प्राचीन धार्मिक ग्रंथों में मिलता है।
htp-10	Historical temples	Badrinarayana	The committee nominated by the state government administers both the temples and has seventeen members on its board.	రాష్ట్ర ప్రభుత్వం ఎంపిక చేసిన కమిటీ రెండు దేవాలయాలను నిర్వహిస్తుంది, దాని బోర్డులో పదిహేడు మంది సభ్యులు ఉన్నారు	राज्य सरकार द्वारा नामित समिति दोनों मंदिरों का प्रशासन करती है और इसके बोर्ड में सत्रह सदस्य हैं।
htp-11	Historical temples	Badrinarayana	The temple is located in Garhwal hill tracts along the banks of the Alaknanda River in Chamoli district in Uttarakhand.	ఆలయం గర్హ్వాల్ కొండ దగ్గర అలకనంద నది  ఒడ్డున ఉన్న చమోలి జిల్లా లో ఉత్తరాఖండ్ లో ఉన్నది. 	यह मंदिर उत्तराखंड के चमोली जिले में अलकनंदा नदी के किनारे गढ़वाल पहाड़ी इलाकों में स्थित है।
htp-12	Historical temples	Badrinarayana	The temple has three structures, they are Garbhagriha , the Darshan Mandap , and Sabha Mandap.	ఈ ఆలయంలో మూడు నిర్మాణాలు ఉన్నాయి,అవి గర్భగృహ , దర్శన్ మండపం , సభ మండపం.	मंदिर में तीन संरचनाएं हैं, वे गर्भगृह, दर्शन मंडप और सभा मंडप हैं।
htp-13	Historical temples	Badrinarayana	The hill tracts are located 3,133 m  above the mean sea level.	కొండ ట్రాక్‌లు 3,133 మీ.  సగటు సముద్ర మట్టానికి పైన ఉన్నాయి.	पहाड़ी क्षेत्र औसत समुद्र तल से ३,१३३ मीटर ऊपर स्थित हैं।
htp-14	Historical temples	Badrinarayana	The Nar Parbat Mountain is located opposite to the temple, while the Narayana Parbat is located behind the Neelkanth peak.	నార్ పర్బాట్ పర్వతం ఆలయానికి ఎదురుగా ఉంది, నారాయణ పర్బాట్ నీలకాంత శిఖరం వెనుక ఉంది.	नर पर्वत पर्वत मंदिर के सामने स्थित है, जबकि नारायण पर्वत नीलकंठ चोटी के पीछे स्थित है।
htp-15	Historical temples	Badrinarayana	The conical-shaped roof of the sanctum, the garbhagriha, is approximately 15 m tall with a small cupola on top, covered with a gold gilt roof.	గర్భగుడి యొక్క శంఖాకార ఆకారపు పైకప్పును గర్భగృహ అంటారు.ఇది సుమారు 15 మీ.  పొడవైన చిన్న కుపోలాతో, గిల్ట్ బంగారుపు పైకప్పుతో కప్పబడి ఉంటుంది.	गर्भगृह की शंक्वाकार आकार की छत, गर्भगृह, लगभग 15 मीटर लंबा है, जिसके ऊपर एक छोटा गुंबद है, जो सोने की गिल्ट की छत से ढका है।
htp-16	Historical temples	Konark Sun Temple 	Konark Sun Temple is a 13th-century   Sun temple.	కోణార్క సూర్యదేవాలయం, 13వ శతాబ్దానికి చెందిన సూర్య దేవాలయం.	कोणार्क सूर्य मंदिर 13 वीं शताब्दी का सूर्य मंदिर है।
htp-17	Historical temples	Konark Sun Temple 	Haridwar , is a city and municipal corporation in Haridwar district of Uttarakhand, India.	హరిద్వార్, భారతదేశంలోని ఉత్తరాఖండ్ లోని హరిద్వార్ జిల్లాలో ఉన్న ఒక నగరం మరియు మునిసిపల్ కార్పొరేషన్.	हरिद्वार, भारत के उत्तराखंड राज्य के हरिद्वार जिले में स्थित एक शहर और नगर निगम है।
htp-18	Historical temples	Konark Sun Temple 	With a population of 228,832 in 2011, it is the second largest city in the state and the largest in the district	2011 లో 228,832 జనాభాతో, ఇది రాష్ట్రంలో రెండవ అతిపెద్ద నగరం మరియు జిల్లాలో అతిపెద్ద నగరం	2011 में 228,832 की आबादी के साथ, यह राज्य का दूसरा सबसे बड़ा और जिले का सबसे बड़ा शहर है|
htp-19	Historical temples	Konark Sun Temple 	The city is situated on the right bank of the Ganga River, at the foothills of the Shivalik ranges.	ఈ నగరం గంగా నది యొక్క కుడి ఒడ్డున, శివాలిక్ శ్రేణుల పర్వత ప్రాంతంలో ఉంది.	यह शहर शिवालिक पर्वतमाला की तलहटी में गंगा नदी के दाहिने किनारे पर स्थित है।
htp-20	Historical temples	Konark Sun Temple 	Haridwar is regarded as a holy place for Hindus, hosting important religious events and serving as a gateway to several prominent places of worship.	హరిద్వార్ హిందువులకు పవిత్ర స్థలంగా పరిగణించబడుతుంది, ముఖ్యమైన మతపరమైన కార్యక్రమాలకు ఆతిథ్యం ఇస్తుంది మరియు అనేక ప్రముఖ ప్రార్థనా స్థలాలకు ప్రవేశ ద్వారంగా ఉపయోగపడుతుంది.	हरिद्वार को हिंदुओं के लिए एक पवित्र स्थान माना जाता है, जो महत्वपूर्ण धार्मिक आयोजनों की मेजबानी करता है और कई प्रमुख पूजा स्थलों के प्रवेश द्वार के रूप में कार्य करता है।
htp-21	Historical temples	Sri Ranganathaswamy Temple	The Sri Ranganathaswamy Temple is a Hindu temple dedicated to Ranganatha, a form of the Supreme God, Maha Vishnu, located in Srirangam, Tiruchirapalli, Tamil Nadu, India.	శ్రీ రంగనాథస్వామి ఆలయం భారతదేశంలోని తమిళనాడులోని తిరుచిరాపల్లిలోని శ్రీరంగంలో ఉన్న మహోన్నతమైన దేవుడు మహా విష్ణు రూపమైన రంగనాథకు అంకితం చేయబడిన హిందూ దేవాలయం.	श्री रंगनाथस्वामी मंदिर एक हिंदू मंदिर है जो श्रीरंगम, तिरुचिरापल्ली, तमिलनाडु, भारत में स्थित सर्वोच्च भगवान, महा विष्णु के एक रूप रंगनाथ को समर्पित है।
htp-22	Historical temples	Sri Ranganathaswamy Temple	The Place Srirangpatna had the name of the Srirangapuri in the early ages later it got the name of the Srirangapatna.	స్థలం శ్రీరంగపట్నకు ప్రారంభ యుగాలలో శ్రీరంగపురి అనే పేరు వచ్చింది, తరువాత దీనికి శ్రీరంగపట్న అనే పేరు వచ్చింది.	जिस स्थान पर श्रीरंगपटना का प्रारंभिक युग में श्रीरंगपुरी का नाम था, बाद में इसे श्रीरंगपटना का नाम मिला।
htp-23	Historical temples	Sri Ranganathaswamy Temple	The town is an island being surrounded by the river Cauvery. 	ఈ పట్టణం కావేరి నది చుట్టూ ఉన్న ఒక ద్వీపం.	यह शहर एक द्वीप है जो कावेरी नदी से घिरा हुआ है।
htp-24	Historical temples	Sri Ranganathaswamy Temple	In this town, there is the temple of Sri Ranganatha.	ఈ పట్టణంలో శ్రీ రంగనాథ ఆలయం ఉంది.	इसी कस्बे में श्री रंगनाथ का मंदिर है।
htp-25	Historical temples	Sri Ranganathaswamy Temple	Sri Lakshmi Narasimha, Sri Gangadereshwara, Sri Jyothirmaheshwara and other small temples. Among them, the main temple is that of Sri Ranganatha.	శ్రీ లక్ష్మీ నరసింహ, శ్రీ గంగాదేరేశ్వర, శ్రీ జ్యోతిర్మహేశ్వర మరియు ఇతర చిన్న దేవాలయాలు. వాటిలో ప్రధాన ఆలయం శ్రీ రంగనాథ ఆలయం	श्री लक्ष्मी नरसिम्हा, श्री गंगादेरेश्वर, श्री ज्योतिर्महेश्वर और अन्य छोटे मंदिर। इनमें मुख्य मंदिर श्री रंगनाथ का है।
htp-26	Historical temples	Sri Ranganathaswamy Temple	There are 21 gopurams , among which the towering Rajagopuram is the tallest temple tower in Asia.	21 గోపురాలు ఉన్నాయి, వీటిలో రాజగోపురం ఆసియాలో ఎత్తైన ఆలయ టవర్.	21 गोपुरम हैं, जिनमें से विशाल राजगोपुरम एशिया का सबसे ऊंचा मंदिर टॉवर है।
htp-27	Historical temples	Sri Ranganathaswamy Temple	It is the most illustrious Vaishnava temples in South India rich in legend and history.	పురాణ మరియు చరిత్రలో గొప్ప దక్షిణ భారతదేశంలోని అత్యంత ప్రసిద్ధ వైష్ణవ దేవాలయాలు ఇది.	यह पौराणिक कथाओं और इतिहास में समृद्ध दक्षिण भारत में सबसे शानदार वैष्णव मंदिर है।
htp-28	Historical temples	Sri Ranganathaswamy Temple	The 13-tiered Rajagopuram was built in 1987 by Ahobhila Matha, a historic Srivaishnava Hindu monastery.	13 అంచెల రాజగోపురం 1987 లో అహోభిలా మాతా అనే చారిత్రాత్మక శ్రీవైష్ణవ హిందూ మఠం నిర్మించింది.	13-स्तरीय राजगोपुरम का निर्माण 1987 में एक ऐतिहासिक श्रीवैष्णव हिंदू मठ, अहोभिला मठ द्वारा किया गया था।
htp-29	Historical temples	Sri Ranganathaswamy Temple	Its location, on an island between the Kollidam and Kaveri rivers.	కొల్లిడామ్ మరియు కావేరి నదుల మధ్య ఉన్న ఒక ద్వీపంలో ఉంది.	इसका स्थान, कोलिडम और कावेरी नदियों के बीच एक द्वीप पर है।
htp-30	Historical temples	Sri Ranganathaswamy Temple	The temple was looted and destroyed by the Delhi Sultanate armies in a broad plunder raid on various cities of the Pandyan kingdom in early 14th century.	14 వ శతాబ్దం ప్రారంభంలో పాండ్య రాజ్యంలోని వివిధ నగరాలపై జరిగిన దోపిడీ దాడిలో ఈ ఆలయాన్ని ిల్లీ సుల్తానేట్ సైన్యాలు దోచుకొని నాశనం చేశాయి.	14 वीं शताब्दी की शुरुआत में पांडियन साम्राज्य के विभिन्न शहरों में व्यापक लूट की छापेमारी में दिल्ली सल्तनत की सेनाओं द्वारा मंदिर को लूट लिया गया और नष्ट कर दिया गया।
htp-31	Historical temples	Sri Ranganathaswamy Temple	The temple was rebuilt in late 14th century, the site fortified and expanded with many more Gopurams in the 16th and 17th centuries.	ఈ ఆలయం 14 వ శతాబ్దం చివరలో పునర్నిర్మించబడింది, ఈ ప్రదేశం 16 మరియు 17 వ శతాబ్దాలలో మరెన్నో గోపురాలతో బలపడింది మరియు విస్తరించింది.	14 वीं शताब्दी के अंत में मंदिर का पुनर्निर्माण किया गया था, यह स्थल 16 वीं और 17 वीं शताब्दी में कई और गोपुरमों के साथ मजबूत और विस्तारित हुआ था।
htp-32	Historical temples	Sri Ranganathaswamy Temple	It was one of the hubs of early Bhakti movement with a devotional singing and dance tradition, but this tradition stopped during the 14th century.	భక్తి గానం మరియు నృత్య సంప్రదాయంతో భక్తి ఉద్యమం ప్రారంభ  యొక్క కేంద్రాలలో ఇది ఒకటి, కానీ ఈ సంప్రదాయం 14 వ శతాబ్దంలో ఆగిపోయింది	यह भक्ति गायन और नृत्य परंपरा के साथ प्रारंभिक भक्ति आंदोलन के केंद्रों में से एक था, लेकिन 14 वीं शताब्दी के दौरान यह परंपरा बंद हो गई।
htp-33	Historical temples	Sri Ranganathaswamy Temple	The temple occupies an area of 155 acres with 81 shrines, 21 towers, 39 pavilions, and many water tanks integrated into the complex making it the world's largest Hindu temple.	ఈ ఆలయం 155 ఎకరాల  విస్తీర్ణంలో 81 మందిరాలు, 21 టవర్లు, 39 మంటపాలు, మరియు అనేక నీటి ట్యాంకులను క్లిష్టమైన సముదాయంలోకి చేర్చారు, ఇది ప్రపంచంలోనే అతిపెద్ద హిందూ దేవాలయంగా మారింది.	मंदिर 155 एकड़ के क्षेत्र में 81 मंदिरों, 21 टावरों, 39 मंडपों और कई पानी के टैंकों को परिसर में एकीकृत करता है जो इसे दुनिया का सबसे बड़ा हिंदू मंदिर बनाता है।
htp-34	Historical temples	Sri Ranganathaswamy Temple	The temple town is a significant archaeological and epigraphical site, providing a historic window into the early and mid medieval South Indian society and culture.	ఈ ఆలయ పట్టణం ఒక ముఖ్యమైన పురావస్తు మరియు శిలాశాసనాల ప్రదేశం, ఇది ప్రారంభ మరియు మధ్యయుగ దక్షిణ భారత సమాజం మరియు సంస్కృతికి చారిత్రాత్మక విండోను అందిస్తుంది.	मंदिर शहर एक महत्वपूर्ण पुरातात्विक और अभिलेखीय स्थल है, जो प्रारंभिक और मध्य मध्ययुगीन दक्षिण भारतीय समाज और संस्कृति में एक ऐतिहासिक खिड़की प्रदान करता है।
htp-35	Historical temples	Sri Ranganathaswamy Temple	The temple is maintained and administered by the Hindu Religious and Endowment Board of the Government of Tamil Nadu.	ఈ ఆలయాన్ని తమిళనాడు ప్రభుత్వ హిందూ మత మరియు ఎండోమెంట్ బోర్డు పరిపాలిస్తుంది మరియు నిర్వహిస్తుంది.	मंदिर का रखरखाव और प्रशासन तमिलनाडु सरकार के हिंदू धार्मिक और बंदोबस्ती बोर्ड द्वारा किया जाता है।
htp-36	Historical temples	Sri Ranganathaswamy Temple	The Srirangam temple is the largest temple compound in India and one of the largest religious complexes in the world.	శ్రీరంగం ఆలయం భారతదేశంలో అతిపెద్ద ఆలయ సమ్మేళనం మరియు ప్రపంచంలోనే అతిపెద్ద మత సముదాయాలలో ఒకటి.	श्रीरंगम मंदिर भारत का सबसे बड़ा मंदिर परिसर है और दुनिया के सबसे बड़े धार्मिक परिसरों में से एक है।
htp-37	Historical temples	Sri Ranganathaswamy Temple	Some of these structures have been renovated, expanded and rebuilt over the centuries as a living temple. 	ఈ నిర్మాణాలలో కొన్ని శతాబ్దాలుగా సజీవ ఆలయంగా పునర్నిర్మించబడ్డాయి, విస్తరించబడ్డాయి మరియు పునర్నిర్మించబడ్డాయి.	इनमें से कुछ संरचनाओं को जीवित मंदिर के रूप में सदियों से पुनर्निर्मित, विस्तारित और पुनर्निर्मित किया गया है।
htp-38	Historical temples	Sri Ranganathaswamy Temple	The latest addition is the outer tower that is approximately 73 metres tall, completed in 1987.	తాజా అదనంగా 1987 లో పూర్తయిన సుమారు 73 మీటర్లు  పొడవు గల బాహ్య టవర్.	नवीनतम जोड़ बाहरी टॉवर है जो लगभग 73 मीटर लंबा है, जो 1987 में पूरा हुआ था।
htp-39	Historical temples	Sri Ranganathaswamy Temple	Srirangam temple is often listed as one of the largest functioning Hindu temple in the world, the still larger Angkor Wat being the largest existing temple.	శ్రీరంగం ఆలయం తరచుగా ప్రపంచంలోనే అతిపెద్ద హిందూ దేవాలయాలలో ఒకటిగా జాబితా చేయబడింది, ఇంకా పెద్ద అంగ్కోర్ వాట్ ప్రస్తుతం ఉన్న అతిపెద్ద ఆలయం.	श्रीरंगम मंदिर को अक्सर दुनिया के सबसे बड़े कामकाजी हिंदू मंदिरों में से एक के रूप में सूचीबद्ध किया जाता है, फिर भी बड़ा अंगकोर वाट सबसे बड़ा मौजूदा मंदिर है।
htp-40	Historical temples	Sri Ranganathaswamy Temple	The temple is an active Hindu house of worship and follows Thenkalai tradition of Sri Vaishnavism.	ఈ ఆలయం చురుకైన హిందూ ప్రార్థనా మందిరం మరియు శ్రీ వైష్ణవ మతం యొక్క తెంకలై సంప్రదాయాన్ని అనుసరిస్తుంది.	मंदिर एक सक्रिय हिंदू पूजा घर है और श्री वैष्णववाद की थेंकलाई परंपरा का पालन करता है।
htp-41	Historical temples	Sri Ranganathaswamy Temple	The annual 21-day festival conducted during the Tamil month of Margazhi  attracts 1 million visitors.	తమిళ మాసం మార్జి లో నిర్వహించే వార్షిక 21 రోజుల పండుగ 1 మిలియన్ సందర్శకులను ఆకర్షిస్తుంది.	तमिल महीने मार्गज़ी के दौरान आयोजित होने वाला वार्षिक 21-दिवसीय उत्सव 1 मिलियन आगंतुकों को आकर्षित करता है।
htp-42	Historical temples	Sri Ranganathaswamy Temple	The temple complex has been nominated as a UNESCO World Heritage Site, and is in UNESCO's tentative list.	ఈ ఆలయ సముదాయం యునెస్కో ప్రపంచ వారసత్వ ప్రదేశంగా నామినేట్ చేయబడింది మరియు యునెస్కో యొక్క తాత్కాలిక జాబితాలో ఉంది.	मंदिर परिसर को यूनेस्को की विश्व धरोहर स्थल के रूप में नामित किया गया है, और यह यूनेस्को की अस्थायी सूची में है।
htp-43	Historical temples	Sri Ranganathaswamy Temple	The temple site is on a large island bounded by the Kaveri River and Kollidam River.	ఈ ఆలయ స్థలం కావేరి నది మరియు కొల్లిడమ్ నది సరిహద్దులో ఉన్న ఒక పెద్ద ద్వీపంలో ఉంది.	मंदिर स्थल कावेरी नदी और कोलिदाम नदी से घिरे एक बड़े द्वीप पर है।
htp-44	Historical temples	Sri Ranganathaswamy Temple	It is vast and planned as a temple town with Sapta-Prakaram design where the sanctum, gopuram, services and living area are co-located in seven concentric enclosures.	ఇది సాప్తా-ప్రకరమ్ రూపకల్పనతో ఒక ఆలయ పట్టణంగా విస్తరించి ఉంది, ఇక్కడ గర్భగుడి, గోపురం, సేవలు మరియు నివసించే ప్రాంతం ఏడు కేంద్రీకృత ఆవరణలలో ఉన్నాయి.	यह विशाल है और सप्त-प्रकारम डिजाइन के साथ एक मंदिर शहर के रूप में योजनाबद्ध है जहां गर्भगृह, गोपुरम, सेवाएं और रहने का क्षेत्र सात संकेंद्रित बाड़ों में सह-स्थित है।
htp-45	Historical temples	Sri Ranganathaswamy Temple	Rampart walls were added.	రాంపార్ట్ గోడలు జోడించబడ్డాయి 	प्राचीर की दीवारें जोड़ी गईं।
htp-46	Historical temples	Sri Ranganathaswamy Temple	The temple monuments are located inside the inner five enclosures of the complex, surrounded by living area and infrastructure in outer two enclosures.	ఆలయ స్మారక చిహ్నాలు కాంప్లెక్స్ యొక్క లోపలి ఐదు ఆవరణల లోపల ఉన్నాయి, వీటి చుట్టూ నివసించే ప్రాంతం మరియు బయటి రెండు ఆవరణలలో మౌలిక సదుపాయాలు ఉన్నాయి.	मंदिर के स्मारक परिसर के भीतरी पांच बाड़ों के अंदर स्थित हैं, जो रहने वाले क्षेत्र और बाहरी दो बाड़ों में बुनियादी ढांचे से घिरा हुआ है।
